mode,l,m,n,theory,operator,derivative_order,parity,branch,k,coefficient_re,coefficient_im,maximum_fit_order,source_file,source_commit,source_repository,source_paper,license
220,2,2,0,cubic_even,lambda_ev,6,preserving,plus,0,-0.14409,0.16157,10,cubic_even_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_even,lambda_ev,6,preserving,plus,1,0.58999,0.3894,10,cubic_even_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_even,lambda_ev,6,preserving,plus,2,1.3152,-0.91048,10,cubic_even_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_even,lambda_ev,6,preserving,plus,3,-0.54371,-2.1421,10,cubic_even_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_even,lambda_ev,6,preserving,plus,4,-2.3368,-0.021544,10,cubic_even_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_even,lambda_ev,6,preserving,plus,5,-0.61252,1.9219,10,cubic_even_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_even,lambda_ev,6,preserving,plus,6,0.78252,0.84508,10,cubic_even_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_even,lambda_ev,6,preserving,plus,7,0.20179,0.25206,10,cubic_even_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_even,lambda_ev,6,preserving,plus,8,0.21226,0.51545,10,cubic_even_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
220,2,2,0,cubic_even,lambda_ev,6,preserving,plus,9,0.35287,0.20356,10,cubic_even_plus_l2_m2_n0.txt,0afe6281bec6a6224bfd55fe4600d5966c6a7135,https://github.com/pacmn91/BeyondKerrQNM,https://arxiv.org/abs/2409.04517,GPL-3.0
