source_paper,source_table,metric_family,perturbation_model,s,l,m,n,spin_a,alpha,h0,re_momega,minus_im_momega,notes
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.1,0.0,1.0,0.387018,0.088706,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.1,0.1,1.0,0.387514,0.089016,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.1,0.5,1.0,0.38957,0.090307,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.1,1.0,1.0,0.39231,0.092044,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.2,0.0,1.0,0.402145,0.088311,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.2,0.1,1.0,0.402704,0.088634,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.2,0.5,1.0,0.405023,0.08998,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.2,1.0,1.0,0.408122,0.091795,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.3,0.0,1.0,0.419527,0.087729,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.3,0.1,1.0,0.420173,0.088067,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.3,0.5,1.0,0.422858,0.089476,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.3,1.0,1.0,0.426465,0.091385,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.4,0.0,1.0,0.439842,0.086882,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.4,0.1,1.0,0.440609,0.087229,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.4,0.5,1.0,0.443813,0.088683,
"Zhen Li, arXiv:2212.08112",table1,rotating_hairy_gravitational_decoupling,approximate_Dudley_Finley_Teukolsky_like,-2,2,2,0,0.4,1.0,1.0,0.448146,0.090663,
