mode,l,m,n,operator,derivative_order,parity,branch,c0_re,c0_im,c1_re,c1_im,c2_re,c2_im,c3_re,c3_im,c4_re,c4_im,c5_re,c5_im,c6_re,c6_im,c7_re,c7_im,c8_re,c8_im,c9_re,c9_im,c10_re,c10_im,c11_re,c11_im,c12_re,c12_im,source_table
220,2,2,0,lambda_ev,6,preserving,plus,-0.144,0.162,0.572,0.411,1.389,-0.858,-0.361,-2.254,-2.378,-0.321,-0.931,1.869,0.640,1.103,0.305,0.419,0.279,0.521,0.301,0.249,0.112,0.212,0.118,0.164,0.003,0.021,Cano2023_Table_I
220,2,2,0,lambda_ev,6,preserving,minus,0.246,-0.132,-0.256,-0.590,-1.407,0.253,-0.422,2.007,1.718,1.052,1.065,-0.976,-0.286,-0.621,-0.040,-0.075,-0.022,-0.276,-0.133,-0.108,-0.007,-0.105,-0.063,-0.119,-0.006,-0.008,Cano2023_Table_I
220,2,2,0,lambda_odd,6,breaking,break,0.197,-0.151,-0.422,-0.512,-1.431,0.561,-0.059,2.183,2.065,0.759,1.045,-1.376,-0.420,-0.843,-0.138,-0.243,-0.128,-0.407,-0.207,-0.196,-0.058,-0.182,-0.099,-0.174,-0.018,-0.040,Cano2023_Table_I
220,2,2,0,epsilon1,8,preserving,plus,-0.166,-0.244,-0.715,-0.451,-2.145,0.176,-1.751,3.219,3.221,2.870,3.064,-3.563,-3.236,-3.820,-3.529,0.407,-1.918,0.081,-2.732,0.117,-2.197,0.707,-2.284,0.321,-1.918,0.754,Cano2023_Table_II
220,2,2,0,epsilon1,8,preserving,minus,-0.079,-0.058,-0.209,0.321,1.082,0.303,1.434,-2.793,-3.187,-4.046,-5.012,1.128,-0.339,2.750,0.422,-0.587,-1.261,-0.346,-0.463,-0.053,-0.940,-0.749,-1.175,-0.320,-0.639,-0.645,Cano2023_Table_II
220,2,2,0,epsilon2,8,preserving,plus,0.000,0.000,-0.100,0.415,1.104,0.019,0.165,-3.041,-5.216,-2.409,-5.350,3.968,0.515,4.329,0.645,0.091,-1.293,0.370,-0.602,0.338,-1.414,-0.366,-1.669,0.067,-1.081,-0.443,Cano2023_Table_II
220,2,2,0,epsilon2,8,preserving,minus,-0.199,-0.352,-0.556,-0.885,-1.982,-0.955,-2.587,1.879,1.814,3.167,3.585,-2.121,-1.323,-3.754,-2.120,-0.378,-0.607,-0.666,-1.492,-0.863,-1.162,-0.224,-1.228,-0.610,-1.248,-0.035,Cano2023_Table_II
220,2,2,0,epsilon3,8,breaking,break,0.074,0.136,0.252,0.527,1.625,0.280,1.552,-2.790,-3.366,-3.239,-4.353,2.633,1.089,3.691,1.623,-0.076,-0.042,0.219,0.780,0.328,0.253,-0.341,0.174,0.075,0.383,-0.375,Cano2023_Table_II
330,3,3,0,lambda_ev,6,preserving,plus,-0.265,0.150,0.554,0.438,1.440,-0.425,0.602,-1.635,-1.037,-1.127,-1.253,0.348,-0.513,0.845,-0.222,0.662,-0.183,0.608,-0.088,0.529,-0.077,0.415,-0.097,0.388,-0.065,0.281,Cano2023_Table_III
330,3,3,0,lambda_ev,6,preserving,minus,0.343,-0.134,-0.347,-0.463,-1.316,0.274,-0.718,1.490,0.785,1.186,1.056,-0.111,0.415,-0.570,0.172,-0.407,0.162,-0.385,0.082,-0.350,0.076,-0.276,0.104,-0.264,0.081,-0.191,Cano2023_Table_III
330,3,3,0,lambda_odd,6,breaking,break,0.304,-0.142,-0.451,-0.452,-1.381,0.349,-0.666,1.566,0.906,1.165,1.153,-0.219,0.465,-0.698,0.200,-0.527,0.176,-0.491,0.089,-0.437,0.081,-0.348,0.104,-0.325,0.071,-0.228,Cano2023_Table_III
330,3,3,0,epsilon1,8,preserving,plus,-0.641,-0.595,-1.832,-0.663,-3.079,-0.075,-3.680,1.525,-1.869,2.890,0.157,1.042,-1.166,-1.324,-3.014,-0.988,-3.215,-0.335,-3.425,-0.351,-3.822,-0.088,-3.628,0.034,-2.033,-0.169,Cano2023_Table_IV
330,3,3,0,epsilon1,8,preserving,minus,0.006,-0.040,-0.126,0.135,0.196,-0.024,0.110,-1.620,-2.141,-2.950,-4.510,-1.371,-3.917,0.866,-2.505,0.750,-2.585,0.176,-2.603,0.325,-2.495,0.143,-2.878,0.057,-2.236,0.235,Cano2023_Table_IV
330,3,3,0,epsilon2,8,preserving,plus,0.000,-0.000,-0.246,0.173,0.122,0.046,-0.136,-1.482,-2.871,-2.494,-5.388,-0.429,-4.678,2.040,-3.186,1.883,-3.306,1.239,-3.350,1.316,-3.287,1.043,-3.520,0.861,-2.478,0.724,Cano2023_Table_IV
330,3,3,0,epsilon2,8,preserving,minus,-0.634,-0.706,-1.768,-1.000,-2.747,-0.677,-3.265,0.766,-1.652,2.225,0.454,0.716,-0.513,-1.520,-2.114,-1.287,-2.199,-0.714,-2.316,-0.793,-2.628,-0.610,-2.463,-0.577,-1.354,-0.596,Cano2023_Table_IV
330,3,3,0,epsilon3,8,breaking,break,0.321,0.316,0.810,0.494,1.544,0.195,1.743,-1.351,-0.357,-2.650,-2.617,-0.905,-1.725,1.422,-0.141,1.216,-0.121,0.609,-0.054,0.698,0.158,0.484,-0.137,0.278,-0.432,0.182,Cano2023_Table_IV
