"projection","observable_set","role","operator","polarization","alpha_best","alpha_sigma","alpha_q05","alpha_q16","alpha_q84","alpha_q95","zero_inside_90pct","sigma_from_alpha0"
"RINGDOWN","{log f_220, log f_221, df_221}","primary frequency-only public ringdown projection","lambda_ev","plus",-0.1461943992394537,0.29395751018401145,-0.6297114760352492,-0.43852276257065514,0.14613396409174773,0.3373226775563418,1,0.4973317373243378
"RINGDOWN","{log f_220, log f_221, df_221}","primary frequency-only public ringdown projection","lambda_ev","minus",-0.887208119357414,1.783936259813606,-3.8215221465620677,-2.6612575960727765,0.8868413573579486,2.04710590784724,1,0.4973317373243378
"RINGDOWN","{log f_220, log f_221, df_221}","primary frequency-only public ringdown projection","lambda_odd","plus",0.24489963389876312,0.49242711759510366,-0.5650708964868022,-0.24479839509994378,0.73459766289747,1.0548701642843286,1,0.4973317373243378
"RINGDOWN","{log f_220, log f_221, df_221}","primary frequency-only public ringdown projection","lambda_odd","minus",-0.24489963389876312,0.49242711759510366,-1.0548701642843286,-0.73459766289747,0.24479839509994378,0.5650708964868022,1,0.4973317373243378
"RINGDOWN","{log f_220, log f_221, df_221}","primary frequency-only public ringdown projection","epsilon1","plus",-0.046891974839671724,0.09428711526374758,-0.20198047835603844,-0.14065653989881216,0.0468725902194687,0.10819652867669499,1,0.4973317373243378
"RINGDOWN","{log f_220, log f_221, df_221}","primary frequency-only public ringdown projection","epsilon1","minus",-0.01278279373689336,0.025702750855332555,-0.055060056703917164,-0.038343096945155045,0.012777509471368322,0.029494469230130445,1,0.4973317373243378
"RINGDOWN","{log f_220, log f_221, df_221}","primary frequency-only public ringdown projection","epsilon2","plus",-0.03245999036779637,0.06526828660129536,-0.1398167683088452,-0.09736655250204804,0.032446571766455296,0.07489678757325247,1,0.4973317373243378
"RINGDOWN","{log f_220, log f_221, df_221}","primary frequency-only public ringdown projection","epsilon2","minus",-0.0118537193686361,0.023834632859808195,-0.05105820167514835,-0.03555625790948258,0.011848819172210381,0.027350762937876152,1,0.4973317373243378
"RINGDOWN","{log f_220, log f_221, df_221}","primary frequency-only public ringdown projection","epsilon3","plus",-0.7650741203460614,1.5383577256845862,-3.2954474049871707,-2.294906087849725,0.7647578471576022,1.765299164295048,1,0.4973317373243378
"RINGDOWN","{log f_220, log f_221, df_221}","primary frequency-only public ringdown projection","epsilon3","minus",0.7650741203460614,1.5383577256845862,-1.765299164295048,-0.7647578471576022,2.294906087849725,3.2954474049871707,1,0.4973317373243378
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","complementary frequency-plus-damping deviation projection","lambda_ev","plus",-0.23689538823056303,0.23383368171013688,-0.6215175676948979,-0.4694331363671689,-0.004357640093957171,0.14772679123377178,1,1.0130935222763224
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","complementary frequency-plus-damping deviation projection","lambda_ev","minus",0.002645660191536755,0.15040310733300022,-0.24474543640992022,-0.14692389555500793,0.15221521593808143,0.25003675679299375,1,0.017590462314578073
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","complementary frequency-plus-damping deviation projection","lambda_odd","plus",0.11570286973678291,0.19841233864297464,-0.21065638511203766,-0.08160984455280633,0.31301558402637214,0.44206212458560346,1,0.5831435208521986
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","complementary frequency-plus-damping deviation projection","lambda_odd","minus",-0.11570286973678291,0.19841233864297464,-0.44206212458560346,-0.31301558402637214,0.08160984455280633,0.21065638511203766,1,0.5831435208521986
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","complementary frequency-plus-damping deviation projection","epsilon1","plus",-0.11955226450879727,0.09783334194265073,-0.2804737918399499,-0.21684340264442165,-0.022261126373172888,0.04136926282235537,1,1.2219991889766788
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","complementary frequency-plus-damping deviation projection","epsilon1","minus",-0.027257077642481753,0.02380837355590317,-0.0664183672377246,-0.050933502411552284,-0.0035806528734112254,0.011904211952761097,1,1.1448525695583893
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","complementary frequency-plus-damping deviation projection","epsilon2","plus",-0.07656080743810888,0.06406102516466163,-0.18193181702643207,-0.140266798919605,-0.012854815956612753,0.028810202150214334,1,1.195123044648723
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","complementary frequency-plus-damping deviation projection","epsilon2","minus",-0.028895506472570304,0.023860643383871276,-0.06814277228392662,-0.05262391138411773,-0.005167101561022874,0.010351759338786015,1,1.2110112040022514
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","complementary frequency-plus-damping deviation projection","epsilon3","plus",-0.11079039395312433,0.31248198470331445,-0.6247775198493655,-0.42154056700236486,0.19995977909611617,0.40319673194311684,1,0.35454970006771475
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","complementary frequency-plus-damping deviation projection","epsilon3","minus",0.11079039395312433,0.31248198470331445,-0.40319673194311684,-0.19995977909611617,0.42154056700236486,0.6247775198493655,1,0.35454970006771475
