"operator","polarization","ringdown_alpha_best","ringdown_alpha_sigma","ringdown_sigma_from_zero","pyring_alpha_best","pyring_alpha_sigma","pyring_sigma_from_zero","pyring_sigma_over_ringdown_sigma","best_fit_difference","normalized_projection_difference","intervals_overlap_90pct","zero_inside_90pct_both","comparison_verdict"
"epsilon1","minus",-0.01278279373689336,0.025702750855332555,0.4973317373243378,-0.027257077642481753,0.02380837355590317,1.1448525695583893,0.9262967100256368,-0.014474283905588393,0.41313466237026714,1,1,"consistent"
"epsilon1","plus",-0.046891974839671724,0.09428711526374758,0.4973317373243378,-0.11955226450879727,0.09783334194265073,1.2219991889766788,1.0376109362237178,-0.07266028966912555,0.5347669260686965,1,1,"consistent"
"epsilon2","minus",-0.0118537193686361,0.023834632859808195,0.4973317373243378,-0.028895506472570304,0.023860643383871276,1.2110112040022514,1.0010912911566991,-0.017041787103934204,0.5053062853120925,1,1,"consistent"
"epsilon2","plus",-0.03245999036779637,0.06526828660129536,0.4973317373243378,-0.07656080743810888,0.06406102516466163,1.195123044648723,0.9815030928572013,-0.044100817070312506,0.48222058573740656,1,1,"consistent"
"epsilon3","minus",0.7650741203460614,1.5383577256845862,0.4973317373243378,0.11079039395312433,0.31248198470331445,0.35454970006771475,0.20312699672259685,-0.6542837263929371,0.41680130363421847,1,1,"consistent"
"epsilon3","plus",-0.7650741203460614,1.5383577256845862,0.4973317373243378,-0.11079039395312433,0.31248198470331445,0.35454970006771475,0.20312699672259685,0.6542837263929371,0.41680130363421847,1,1,"consistent"
"lambda_ev","minus",-0.887208119357414,1.783936259813606,0.4973317373243378,0.002645660191536755,0.15040310733300022,0.017590462314578073,0.08430968679829123,0.8898537795489507,0.4970513606185954,1,1,"consistent"
"lambda_ev","plus",-0.1461943992394537,0.29395751018401145,0.4973317373243378,-0.23689538823056303,0.23383368171013688,1.0130935222763224,0.7954676223912828,-0.09070098899110932,0.2414710797157392,1,1,"consistent"
"lambda_odd","minus",-0.24489963389876312,0.49242711759510366,0.4973317373243378,-0.11570286973678291,0.19841233864297464,0.5831435208521986,0.4029273197056512,0.12919676416198023,0.2433554831549847,1,1,"consistent"
"lambda_odd","plus",0.24489963389876312,0.49242711759510366,0.4973317373243378,0.11570286973678291,0.19841233864297464,0.5831435208521986,0.4029273197056512,-0.12919676416198023,0.2433554831549847,1,1,"consistent"
