"projection","observable_set","role","operator","polarization","sample_count","alpha_mean_empirical","alpha_sd_empirical","alpha_median_empirical","alpha_q05_empirical","alpha_q16_empirical","alpha_q84_empirical","alpha_q95_empirical","zero_inside_empirical_90pct","posterior_mass_alpha_less_zero","posterior_mass_alpha_greater_zero","nominal_abs_median_over_sd","interval_asymmetry_90pct","gaussian_alpha_best","gaussian_alpha_sigma","gaussian_q05","gaussian_q95","median_minus_gaussian_best","empirical_sd_over_gaussian_sigma"
"RINGDOWN","{log f_220, log f_221, df_221}","linearized sample projection with mass/spin profiling","lambda_ev","plus",120000,-0.14619439923943514,0.29395751018416666,-0.1425049780227527,-0.6290635827699719,-0.45164179155128437,0.16934444511341532,0.3000450672032062,1,0.6634833333333333,0.3365166666666667,0.4847808716758834,-0.04736642966625139,-0.1461943992394537,0.29395751018401145,-0.6297114760352492,0.3373226775563418,0.0036894212167010165,1.000000000000528
"RINGDOWN","{log f_220, log f_221, df_221}","linearized sample projection with mass/spin profiling","lambda_ev","minus",120000,-0.8872081193573977,1.7839362597901165,-0.8648181750351586,-3.817590284778865,-2.7408728828876314,1.0276985127629246,1.8208797408160087,1,0.6634833333333333,0.3365166666666667,0.4847808716758221,-0.04736642966623954,-0.887208119357414,1.783936259813606,-3.8215221465620677,2.04710590784724,0.022389944322255384,0.9999999999868328
"RINGDOWN","{log f_220, log f_221, df_221}","linearized sample projection with mass/spin profiling","lambda_odd","plus",120000,0.24489963389870725,0.4924271175941077,0.23871353429333875,-0.5026295362925496,-0.2836857841429221,0.7565646127784741,1.0537705242031248,1,0.3365166666666667,0.6634833333333333,0.4847692699371257,0.04736180702821463,0.24489963389876312,0.49242711759510366,-0.5650708964868022,1.0548701642843286,-0.006186099605424378,0.9999999999979774
"RINGDOWN","{log f_220, log f_221, df_221}","linearized sample projection with mass/spin profiling","lambda_odd","minus",120000,-0.24489963389870725,0.4924271175941077,-0.23871924730418578,-1.0537848366342573,-0.7565741914853211,0.28367976356699093,0.5026247755963337,1,0.6634833333333333,0.3365166666666667,0.4847808716760286,-0.047366429666221885,-0.24489963389876312,0.49242711759510366,-1.0548701642843286,0.5650708964868022,0.006180386594577342,0.9999999999979774
"RINGDOWN","{log f_220, log f_221, df_221}","linearized sample projection with mass/spin profiling","epsilon1","plus",120000,-0.04689197483967237,0.094287115260622,-0.04570858992348101,-0.20177266604858587,-0.144864479325058,0.054317371259979756,0.09623970422473198,1,0.6634833333333333,0.3365166666666667,0.4847808716719824,-0.04736642966849264,-0.046891974839671724,0.09428711526374758,-0.20198047835603844,0.10819652867669499,0.0011833849161907162,0.9999999999668504
"RINGDOWN","{log f_220, log f_221, df_221}","linearized sample projection with mass/spin profiling","epsilon1","minus",120000,-0.012782793736894617,0.025702750855328162,-0.012460201964112766,-0.05500340688682092,-0.039490184948239256,0.01480696335588753,0.026235028330666967,1,0.6634833333333333,0.3365166666666667,0.48478087167583367,-0.047366429666287846,-0.01278279373689336,0.025702750855332555,-0.055060056703917164,0.029494469230130445,0.00032259177278059353,0.999999999999829
"RINGDOWN","{log f_220, log f_221, df_221}","linearized sample projection with mass/spin profiling","epsilon2","plus",120000,-0.032459990367800576,0.06526828660175106,-0.03164081687157224,-0.1396729145828714,-0.10027941070062048,0.03760006597957621,0.06661992553743208,1,0.6634833333333333,0.3365166666666667,0.48478087167563794,-0.047366429666664586,-0.03245999036779637,0.06526828660129536,-0.1398167683088452,0.07489678757325247,0.0008191734962241307,1.000000000006982
"RINGDOWN","{log f_220, log f_221, df_221}","linearized sample projection with mass/spin profiling","epsilon2","minus",120000,-0.011853719368635796,0.02383463285976314,-0.011554574093830094,-0.051005669259398846,-0.036619973679212915,0.013730769027087341,0.02432822353711102,1,0.6634833333333333,0.3365166666666667,0.484780871675861,-0.04736642966620934,-0.0118537193686361,0.023834632859808195,-0.05105820167514835,0.027350762937876152,0.000299145274806005,0.9999999999981097
"RINGDOWN","{log f_220, log f_221, df_221}","linearized sample projection with mass/spin profiling","epsilon3","plus",120000,-0.7650741203455419,1.5383577256941179,-0.7457663992105747,-3.292056807464111,-2.3635614509186214,0.8862244590402921,1.5702155284258166,1,0.6634833333333333,0.3365166666666667,0.48478087167539635,-0.047366429666468195,-0.7650741203460614,1.5383577256845862,-3.2954474049871707,1.765299164295048,0.019307721135486622,1.0000000000061962
"RINGDOWN","{log f_220, log f_221, df_221}","linearized sample projection with mass/spin profiling","epsilon3","minus",120000,0.7650741203455419,1.5383577256941179,0.7457485515879101,-1.5702304009898507,-0.8862432675081477,2.3635315267401977,3.2920120949801612,1,0.3365166666666667,0.6634833333333333,0.4847692699377988,0.04736180702738653,0.7650741203460614,1.5383577256845862,-1.765299164295048,3.2954474049871707,-0.01932556875815128,1.0000000000061962
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","linearized sample projection in pyRing deviation variables","lambda_ev","plus",61834,-0.23689538823056305,0.23383368171013708,-0.2670722795602076,-0.5591670346618585,-0.4507792343972692,-0.027473400597980008,0.17184275285183975,1,0.8638774784099362,0.13612252159006372,1.1421463221507733,0.20084584340486042,-0.23689538823056303,0.23383368171013688,-0.6215175676948979,0.14772679123377178,-0.0301768913296446,1.0000000000000009
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","linearized sample projection in pyRing deviation variables","lambda_ev","minus",61834,0.002645660191536759,0.1504031073330006,0.02532050286724263,-0.2704987751852911,-0.15287387966707802,0.15825557009227012,0.20014781537018922,1,0.4405828508587509,0.5594171491412492,0.1683509291545531,-0.2570760480954222,0.002645660191536755,0.15040310733300022,-0.24474543640992022,0.25003675679299375,0.022674842675705874,1.0000000000000024
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","linearized sample projection in pyRing deviation variables","lambda_odd","plus",61834,0.11570286973678293,0.19841233864297472,0.14935079680442692,-0.24981750863261998,-0.07398700591473203,0.30562190041446785,0.37043788385650206,1,0.24641782837920884,0.7535821716207911,0.752729380772888,-0.2871095044741508,0.11570286973678291,0.19841233864297464,-0.21065638511203766,0.44206212458560346,0.03364792706764401,1.0000000000000004
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","linearized sample projection in pyRing deviation variables","lambda_odd","minus",61834,-0.11570286973678293,0.19841233864297472,-0.1493649265504368,-0.37043788385650206,-0.30562190041446785,0.07398700591473203,0.24981750863261998,1,0.7535821716207911,0.24641782837920884,0.7528005948219058,0.2871550655323244,-0.11570286973678291,0.19841233864297464,-0.44206212458560346,0.21065638511203766,-0.033662056813653876,1.0000000000000004
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","linearized sample projection in pyRing deviation variables","epsilon1","plus",61834,-0.11955226450879729,0.0978333419426507,-0.12431293910092225,-0.27010322240134965,-0.2143639846245833,-0.032259997793687566,0.05060940679635594,1,0.8978070317301161,0.10219296826988389,1.2706602537792662,0.0908354082273827,-0.11955226450879727,0.09783334194265073,-0.2804737918399499,0.04136926282235537,-0.0047606745921249805,0.9999999999999997
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","linearized sample projection in pyRing deviation variables","epsilon1","minus",61834,-0.02725707764248175,0.02380837355590317,-0.029700256394434417,-0.06125909713231575,-0.049444881445852996,-0.006251126545442303,0.013458896888344611,1,0.8877801856583757,0.11221981434162435,1.2474710347053666,0.1552546036191775,-0.027257077642481753,0.02380837355590317,-0.0664183672377246,0.011904211952761097,-0.002443178751952664,1
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","linearized sample projection in pyRing deviation variables","epsilon2","plus",61834,-0.07656080743810886,0.06406102516466163,-0.08193007248008138,-0.17022419212713058,-0.1368270834363199,-0.01996493036683187,0.034711375158813576,1,0.8958825241776369,0.1041174758223631,1.2789378919473953,0.13832312451792753,-0.07656080743810888,0.06406102516466163,-0.18193181702643207,0.028810202150214334,-0.005369265041972507,1
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","linearized sample projection in pyRing deviation variables","epsilon2","minus",61834,-0.028895506472570307,0.02386064338387125,-0.030694134641539205,-0.06429208972329407,-0.051497105086724934,-0.0077633333166622406,0.012809946761707242,1,0.8980819613804703,0.10191803861952971,1.2863917434132182,0.12848073505060564,-0.028895506472570304,0.023860643383871276,-0.06814277228392662,0.010351759338786015,-0.0017986281689689014,0.999999999999999
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","linearized sample projection in pyRing deviation variables","epsilon3","plus",61834,-0.11079039395312434,0.31248198470331506,-0.16494336416305494,-0.5057575918576305,-0.42032446025732234,0.20039903278554486,0.47096560345604677,1,0.682019600866837,0.317980399133163,0.5278491952733206,0.30212729803120486,-0.11079039395312433,0.31248198470331445,-0.6247775198493655,0.40319673194311684,-0.05415297020993061,1.000000000000002
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","linearized sample projection in pyRing deviation variables","epsilon3","minus",61834,0.11079039395312434,0.31248198470331506,0.16492241354959927,-0.47096560345604677,-0.20039903278554486,0.42032446025732234,0.5057575918576305,1,0.317980399133163,0.682019600866837,0.527782149445141,-0.30208439823409516,0.11079039395312433,0.31248198470331445,-0.40319673194311684,0.6247775198493655,0.05413201959647494,1.000000000000002
