"projection","observable_set","operator","polarization","alpha_best","alpha_sigma","alpha_90_lower","alpha_90_upper","sigma_from_alpha0","zero_inside_90pct"
"RINGDOWN","{log f_220, log f_221, df_221}","lambda_ev","plus",-0.1461943992394537,0.29395751018401145,-0.6297114760352492,0.3373226775563418,0.4973317373243378,1
"RINGDOWN","{log f_220, log f_221, df_221}","lambda_ev","minus",-0.887208119357414,1.783936259813606,-3.8215221465620677,2.04710590784724,0.4973317373243378,1
"RINGDOWN","{log f_220, log f_221, df_221}","lambda_odd","plus",0.24489963389876312,0.49242711759510366,-0.5650708964868022,1.0548701642843286,0.4973317373243378,1
"RINGDOWN","{log f_220, log f_221, df_221}","lambda_odd","minus",-0.24489963389876312,0.49242711759510366,-1.0548701642843286,0.5650708964868022,0.4973317373243378,1
"RINGDOWN","{log f_220, log f_221, df_221}","epsilon1","plus",-0.046891974839671724,0.09428711526374758,-0.20198047835603844,0.10819652867669499,0.4973317373243378,1
"RINGDOWN","{log f_220, log f_221, df_221}","epsilon1","minus",-0.01278279373689336,0.025702750855332555,-0.055060056703917164,0.029494469230130445,0.4973317373243378,1
"RINGDOWN","{log f_220, log f_221, df_221}","epsilon2","plus",-0.03245999036779637,0.06526828660129536,-0.1398167683088452,0.07489678757325247,0.4973317373243378,1
"RINGDOWN","{log f_220, log f_221, df_221}","epsilon2","minus",-0.0118537193686361,0.023834632859808195,-0.05105820167514835,0.027350762937876152,0.4973317373243378,1
"RINGDOWN","{log f_220, log f_221, df_221}","epsilon3","plus",-0.7650741203460614,1.5383577256845862,-3.2954474049871707,1.765299164295048,0.4973317373243378,1
"RINGDOWN","{log f_220, log f_221, df_221}","epsilon3","minus",0.7650741203460614,1.5383577256845862,-1.765299164295048,3.2954474049871707,0.4973317373243378,1
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","lambda_ev","plus",-0.23689538823056303,0.23383368171013688,-0.6215175676948979,0.14772679123377178,1.0130935222763224,1
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","lambda_ev","minus",0.002645660191536755,0.15040310733300022,-0.24474543640992022,0.25003675679299375,0.017590462314578073,1
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","lambda_odd","plus",0.11570286973678291,0.19841233864297464,-0.21065638511203766,0.44206212458560346,0.5831435208521986,1
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","lambda_odd","minus",-0.11570286973678291,0.19841233864297464,-0.44206212458560346,0.21065638511203766,0.5831435208521986,1
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","epsilon1","plus",-0.11955226450879727,0.09783334194265073,-0.2804737918399499,0.04136926282235537,1.2219991889766788,1
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","epsilon1","minus",-0.027257077642481753,0.02380837355590317,-0.0664183672377246,0.011904211952761097,1.1448525695583893,1
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","epsilon2","plus",-0.07656080743810888,0.06406102516466163,-0.18193181702643207,0.028810202150214334,1.195123044648723,1
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","epsilon2","minus",-0.028895506472570304,0.023860643383871276,-0.06814277228392662,0.010351759338786015,1.2110112040022514,1
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","epsilon3","plus",-0.11079039395312433,0.31248198470331445,-0.6247775198493655,0.40319673194311684,0.35454970006771475,1
"PYRING_DELTA","{log(1 + domega_221), log(1 + dtau_221)}","epsilon3","minus",0.11079039395312433,0.31248198470331445,-0.40319673194311684,0.6247775198493655,0.35454970006771475,1
