"operator","polarization","ringdown_alpha_best","pyring_alpha_best","normalized_projection_difference","intervals_overlap_90pct","comparison_verdict"
"epsilon1","minus",-0.01278279373689336,-0.027257077642481753,0.41313466237026714,1,"consistent"
"epsilon1","plus",-0.046891974839671724,-0.11955226450879727,0.5347669260686965,1,"consistent"
"epsilon2","minus",-0.0118537193686361,-0.028895506472570304,0.5053062853120925,1,"consistent"
"epsilon2","plus",-0.03245999036779637,-0.07656080743810888,0.48222058573740656,1,"consistent"
"epsilon3","minus",0.7650741203460614,0.11079039395312433,0.41680130363421847,1,"consistent"
"epsilon3","plus",-0.7650741203460614,-0.11079039395312433,0.41680130363421847,1,"consistent"
"lambda_ev","minus",-0.887208119357414,0.002645660191536755,0.4970513606185954,1,"consistent"
"lambda_ev","plus",-0.1461943992394537,-0.23689538823056303,0.2414710797157392,1,"consistent"
"lambda_odd","minus",-0.24489963389876312,-0.11570286973678291,0.2433554831549847,1,"consistent"
"lambda_odd","plus",0.24489963389876312,0.11570286973678291,0.2433554831549847,1,"consistent"
