"operator","polarization","alpha_best_min","alpha_best_max","alpha_best_range","alpha_sigma_min","alpha_sigma_max","max_sigma_from_zero","zero_outside_90pct_any_scenario","common_90pct_interval_lower","common_90pct_interval_upper","common_90pct_interval_contains_zero"
"lambda_ev","plus",-0.24534860054615917,-0.11804647493351002,0.12730212561264914,0.2260344866474157,0.31142198988449804,1.0854476420178794,0.,-0.617142245724275,0.1264450446319567,1.
"lambda_ev","minus",0.0009937813331715665,0.015134513045186043,0.014140731712014477,0.14991062009598705,0.15236623841349842,0.09932983318859225,0.,-0.23548564683420958,0.2489643703058466,1.
"lambda_odd","plus",0.0488879077176266,0.12599723192620693,0.07710932420858033,0.19509597130323406,0.2119282536205183,0.6458218029032069,0.,-0.19490708407553792,0.39747886433882756,1.
"lambda_odd","minus",-0.12599723192620693,-0.0488879077176266,0.07710932420858033,0.19509597130323406,0.2119282536205183,0.6458218029032069,0.,-0.39747886433882756,0.19490708407553792,1.
"epsilon1","plus",-0.1214838046011341,-0.10120249791185114,0.020281306689282963,0.09419249017578023,0.1917845997129845,1.2897398123186186,0.,-0.2764166636983571,0.03344905449608891,1.
"epsilon1","minus",-0.02782796340045786,-0.01708704218639064,0.01074092121406722,0.022896952465508963,0.03709394250093954,1.2153566481118732,0.,-0.06549009870948573,0.009834171908570014,1.
"epsilon2","plus",-0.07778487615966007,-0.055513638404318125,0.02227123775534194,0.061523429330845966,0.10982357620615883,1.2643130756149366,0.,-0.17898191203699465,0.023412159717674505,1.
"epsilon2","minus",-0.029319699381973898,-0.02226259478946094,0.007057104592512957,0.022911400731798662,0.04261062228486132,1.2796991212013145,0.,-0.06700559997421154,0.008366201210263744,1.
"epsilon3","plus",-0.12480460468330128,-0.055945286755237834,0.06885931792806343,0.3094387292770751,0.3197185872453194,0.4033257406882306,0.,-0.581835564589502,0.38417681148735044,1.
"epsilon3","minus",0.055945286755237834,0.12480460468330128,0.06885931792806343,0.3094387292770751,0.3197185872453194,0.4033257406882306,0.,-0.38417681148735044,0.581835564589502,1.
