family,mode,parameter_name,threshold_pct,crossing_parameter_value,status
Braneworld_tidal_charge,n=0,q_tidal,1.0,0.05864566728383014,linear_interpolation_sparse_grid
Braneworld_tidal_charge,n=0,q_tidal,3.0,0.18797211117271806,linear_interpolation_sparse_grid
Braneworld_tidal_charge,n=0,q_tidal,5.0,0.3238527236883695,linear_interpolation_sparse_grid
Braneworld_tidal_charge,n=0,q_tidal,10.0,0.7173871005940609,linear_interpolation_sparse_grid
Bardeen_NED,n=0,alpha,1.0,0.033439538742696014,linear_interpolation_sparse_grid
Bardeen_NED,n=0,alpha,3.0,0.10031861622808803,linear_interpolation_sparse_grid
Bardeen_NED,n=0,alpha,5.0,0.16719769371348006,linear_interpolation_sparse_grid
Bardeen_NED,n=0,alpha,10.0,0.30479260300600314,linear_interpolation_sparse_grid
Hayward_fundamental,n=0,gamma,1.0,0.11782583822982552,linear_interpolation_sparse_grid
Hayward_fundamental,n=0,gamma,3.0,0.3288370234502602,linear_interpolation_sparse_grid
Hayward_fundamental,n=0,gamma,5.0,0.5040415796296482,linear_interpolation_sparse_grid
Hayward_fundamental,n=0,gamma,10.0,0.8585106950493715,linear_interpolation_sparse_grid
Hayward_overtone,n=1,gamma,1.0,0.06979180602006697,linear_interpolation_sparse_grid
Hayward_overtone,n=1,gamma,3.0,0.20991452597836646,linear_interpolation_sparse_grid
Hayward_overtone,n=1,gamma,5.0,0.34458219498538495,linear_interpolation_sparse_grid
Hayward_overtone,n=1,gamma,10.0,0.6812513675029312,linear_interpolation_sparse_grid
